"Story","Title","Result","Date","Stability","Duration (s)"
"To test the GET APIs from https://reqres.in","To verify that the user is able to get the <b>User Information</b> with a respective id","SUCCESS","2019-10-06T18:53:40.1364492+05:30[Asia/Calcutta]","0.0","8.77"
"To test the GET APIs from https://reqres.in","To verify that the user is NOT able to get the <b>User Information</b> with an invalid respective id","SUCCESS","2019-10-06T18:53:48.930665+05:30[Asia/Calcutta]","0.0","0.14"
